Area	Ingreso	Familia	AdultoMayor	Posgrado	Secundaria
218	60.8	2	0	4	1
225	68.4	2	0	6	1
350	104.5	3	1	7	1
336	59.3	4	1	0	1
291	72.2	4	0	2	1
363	114	3	1	10	1
423	125.4	6	0	6	1
277	83.6	3	0	8	1
452	133	5	1	2	1
289	95	3	0	6	1
428	115	5	1	7	1
336	89	3	1	9	1
440	125	5	1	1	1
359	112	3	1	3	1
430	116	5	1	10	1
414	104	5	1	9	1
363	103	5	0	9	1
381	100	4	1	10	1
398	118	4	1	4	1
393	84	5	1	7	1
285	92	3	0	6	1
386	107	4	1	3	1
253	63	3	0	5	1
340	67	4	1	1	1
422	110	5	1	7	1
350	131	2	1	8	1
374	98	4	1	6	1
332	78	5	0	0	1
420	109	5	1	3	1
253	61	3	0	0	0
318	101	2	1	1	1
348	73	4	1	3	1
334	60	4	1	7	1
285	73	2	1	6	1
286	122	2	0	2	1
280	70	2	1	10	1
270	64	2	1	0	1
341	122	2	1	2	1
407	124	4	1	6	1
386	109	4	1	2	1
274	66	2	1	10	1
358	100	5	0	9	1
368	119	3	1	6	1
262	73	3	0	0	0
322	124	3	0	0	0
361	88	4	1	7	1
358	109	3	1	4	1
375	95	4	1	6	1
414	100	5	1	0	0
433	119	5	1	9	1
