Interes	Edad
1	36
0	37
0	28
0	38
0	37
0	39
0	40
0	46
1	27
0	33
0	33
0	40
1	23
1	28
0	42
0	37
1	40
0	36
0	42
0	38
0	48
0	38
1	40
0	37
0	49
0	39
0	40
0	51
0	33
0	46
1	33
0	46
0	27
1	36
0	40
0	45
0	23
0	37
0	46
0	46
0	42
0	49
0	37
0	40
0	43
0	40
0	37
1	23
0	51
0	36
0	40
0	43
0	39
0	40
0	40
0	40
1	36
0	46
0	46
0	46
0	45
0	37
0	42
0	45
0	40
0	46
0	27
0	38
0	40
0	49
0	37
0	27
0	43
0	39
0	40
0	48
0	48
0	45
0	48
0	49
0	28
0	40
0	40
0	28
0	38
0	40
1	36
0	43
0	42
0	43
0	46
0	40
0	48
0	40
0	49
0	37
0	40
0	42
0	51
0	28
0	48
0	33
0	37
0	40
0	43
0	46
0	46
0	37
0	40
1	27
0	39
0	51
0	37
0	37
0	51
1	27
0	37
0	51
0	28
0	37
0	37
0	45
0	49
0	33
0	45
0	40
1	23
0	37
0	38
0	39
