ID;MESES_TC;DIAS_TC;RUBROS_TC;COMERCIOS_TC;TRX_MERCADO;TRX_ROPA;TRX_TRANSPORTE;TRX_COMIDA;TRX_BOTICA;TRX_BODEGAS;TRX_GRIFO
1;4;34;6;13;6;2;;26;3;2;1
2;4;76;7;31;72;1;1;37;19;5;7
3;4;38;7;23;17;10;4;6;4;2;3
4;2;8;6;7;3;1;;3;4;1;1
5;3;30;6;25;10;1;;22;3;2;2
6;4;37;6;8;9;4;29;1;1;14;
7;4;28;6;20;10;;2;10;4;5;7
8;4;51;7;20;43;2;3;5;3;9;7
9;4;61;6;18;10;5;;3;1;1;98
10;4;43;7;27;9;5;3;35;3;5;3
11;4;35;6;23;15;10;;4;4;8;7
12;4;29;6;20;7;2;;6;14;1;3
13;4;17;6;10;5;;1;1;8;1;5
14;4;23;6;7;7;5;;1;2;1;7
15;4;46;7;13;15;3;12;32;3;3;4
16;4;62;6;40;34;7;;18;6;8;15
17;4;37;6;8;36;1;;2;3;2;6
18;3;38;6;11;21;5;;5;5;13;2
19;4;49;6;14;29;1;;11;19;7;2
20;4;89;6;31;99;3;;27;29;8;14
21;2;22;6;7;22;1;;1;3;3;5
22;4;76;6;28;37;4;;16;4;46;21
23;3;15;6;14;5;3;10;10;3;1;
24;4;26;6;13;23;2;1;6;1;;3
25;4;33;7;9;3;3;23;5;1;6;1
26;4;53;6;15;15;;43;3;23;1;5
27;4;19;6;7;7;;1;3;9;3;3
28;4;47;7;28;15;1;16;35;3;1;7
29;4;30;6;25;15;7;;11;3;1;8
30;4;40;6;19;8;1;;16;3;3;22
31;4;67;6;1;51;1;;20;20;5;4
32;4;30;6;15;17;3;;7;5;1;7
33;4;40;7;14;16;7;1;10;3;2;16
34;3;10;6;7;7;2;2;1;2;1;
35;3;9;6;7;1;1;;2;2;1;2
36;4;50;6;23;10;4;16;31;7;1;
37;3;11;6;8;2;3;;1;4;6;1
38;4;14;6;12;3;2;2;7;1;;2
39;4;39;6;12;6;3;65;4;2;2;
40;4;19;6;11;1;2;;3;7;4;3
41;4;54;6;26;29;6;35;18;;1;3
42;4;23;6;14;1;2;;10;1;1;11
43;4;16;6;9;8;4;1;3;3;1;
44;4;15;6;10;3;1;7;2;10;3;
45;4;15;7;10;7;2;1;2;4;1;2
46;4;24;6;15;8;1;;4;6;4;3
47;4;13;7;7;5;3;4;1;2;1;2
48;4;62;7;29;39;5;1;31;16;4;1
49;4;51;6;12;26;;1;31;1;4;6
50;4;26;6;14;10;11;;4;1;3;2
51;4;79;7;23;50;3;72;8;8;11;7
52;4;25;6;10;19;1;;4;10;2;1
53;4;38;6;13;22;1;;7;13;5;2
54;4;49;6;24;33;5;;20;5;8;4
55;4;66;7;17;40;1;37;38;15;6;1
56;4;39;6;19;27;;7;5;1;8;4
57;2;21;6;14;5;2;;6;4;1;10
58;4;18;6;9;6;1;;4;2;1;10
59;4;29;6;10;19;4;;3;11;2;3
60;4;80;6;25;86;;1;22;18;5;2
61;4;32;6;16;15;3;3;11;6;;1
