id	x1	x2	x3	x4	x5	x6
1	4.1	0.6	6.9	4.7	2.35	5.2
2	1.8	3	6.3	6.6	4	8.4
3	3.4	5.2	5.7	6	2.7	8.2
4	2.7	1	7.1	5.9	2.3	7.8
5	6	0.9	9.6	7.8	4.6	4.5
6	1.9	3.3	7.9	4.8	1.9	9.7
7	4.6	2.4	9.5	6.6	4.5	7.6
8	1.3	4.2	6.2	5.1	2.2	6.9
9	5.5	1.6	9.4	4.7	3	7.6
10	4	3.5	6.5	6	3.2	8.7
11	2.4	1.6	8.8	4.8	2.8	5.8
12	3.9	2.2	9.1	4.6	2.5	8.3
13	2.8	1.4	8.1	3.8	1.4	6.6
14	3.7	1.5	8.6	5.7	3.7	6.7
15	4.7	1.3	9.9	6.7	2.6	6.8
16	3.4	2	9.7	4.7	1.7	4.8
17	3.2	4.1	5.7	5.1	2.9	6.2
18	4.9	1.8	7.7	4.3	1.5	5.9
19	5.3	1.4	9.7	6.1	3.9	6.8
20	4.7	1.3	9.9	6.7	2.6	6.8
21	3.3	0.9	8.6	4	1.8	6.3
22	3.4	0.4	8.3	2.5	1.7	5.2
23	3	4	9.1	7.1	3.4	8.4
24	2.4	1.5	6.7	4.8	2.5	7.2
25	5.1	1.4	8.7	4.8	2.6	3.8
26	4.6	2.1	7.9	5.8	2.8	4.7
27	2.4	1.5	6.6	4.8	2.5	7.2
28	5.2	1.3	9.7	6.1	3.9	6.7
29	3.5	2.8	9.9	3.5	1.7	5.4
30	4.1	3.7	5.9	5.5	3	8.4
31	3	3.2	6	5.3	3	8
32	2.8	3.8	8.9	6.9	3.2	8.2
33	5.2	2	9.3	5.9	2.4	4.6
34	3.4	3.7	6.4	5.7	3.4	8.4
35	2.4	1	7.7	3.4	1.1	6.2
36	1.8	3.3	7.5	4.5	2.4	7.6
37	3.6	4	5.8	5.8	2.5	9.3
38	4	0.9	9.1	5.4	2.6	7.3
39	0	2.1	6.9	5.4	2.6	8.9
40	2.4	2	6.4	4.5	2.2	8.8
41	1.9	3.4	7.6	4.6	2.5	7.7
42	5.9	0.9	9.6	7.8	4.6	4.5
43	4.9	2.3	9.3	4.5	1.3	6.2
44	5	1.3	8.6	4.7	2.5	3.7
45	2	2.6	6.5	3.7	1.7	8.5
46	5	2.5	9.4	4.6	1.4	6.3
47	3.1	1.9	10	4.5	3.2	3.8
48	3.4	3.9	5.6	5.6	2.3	9.1
49	5.8	0.2	8.8	4.5	2.4	6.7
50	5.4	2.1	8	3	1.4	5.2
51	3.7	0.7	8.2	6	2.5	5.2
52	2.6	4.8	8.2	5	2.5	9
53	4.5	4.1	6.3	5.9	3.4	8.8
54	2.8	2.4	6.7	4.9	2.6	9.2
55	3.8	0.8	8.7	2.9	2.1	5.6
56	2.9	2.6	7.7	7	3.6	7.7
57	4.9	4.4	7.4	6.9	4	9.6
58	5.4	2.5	9.6	5.5	3	7.7
59	4.3	1.8	7.6	5.4	2.5	4.4
60	2.3	4.5	8	4.7	2.2	8.7
61	3.1	1.9	9.9	4.5	3.1	3.8
62	5.1	1.9	9.2	5.8	2.3	4.5
63	4.1	1.1	9.3	5.5	2.7	7.4
64	3	3.8	5.5	4.9	2.6	6
65	1.1	2	7.2	4.7	3.2	10
66	3.7	1.4	9	4.5	2.3	6.8
67	4.2	2.5	9.2	6.2	3.9	7.3
68	1.6	4.5	6.4	5.3	2.5	7.1
69	5.3	1.7	8.5	3.7	1.9	4.8
70	2.3	3.7	8.3	5.2	2.3	9.1
71	3.6	5.4	5.9	6.2	2.9	8.4
72	5.6	2.2	8.2	3.1	1.6	5.3
73	3.6	2.2	9.9	4.8	1.9	4.9
74	5.2	1.3	9.1	4.5	2.7	7.3
75	3	2	6.6	6.6	2.7	8.2
76	4.2	2.4	9.4	4.9	2.7	8.5
77	3.8	0.8	8.3	6.1	2.6	5.3
78	3.3	2.6	9.7	3.3	1.5	5.2
79	1	1.9	7.1	4.5	3.1	9.9
80	4.5	1.6	8.7	4.6	2.1	6.8
81	5.5	1.8	8.7	3.8	2.1	4.9
82	3.4	4.6	5.5	8.2	4.4	6.3
83	1.6	2.8	6.1	6.4	3.8	8.2
84	2.3	3.7	7.6	5	2.5	7.4
85	2.6	3	8.5	6	2.8	6.8
86	2.5	3.1	7	4.2	2.2	9
87	2.4	2.9	8.4	5.9	2.7	6.7
88	2.1	3.5	7.4	4.8	2.3	7.2
89	2.9	1.2	7.3	6.1	2.5	8
90	4.3	2.5	9.3	6.3	4	7.4
91	3	2.8	7.8	7.1	3.8	7.9
92	4.8	1.7	7.6	4.2	1.4	5.8
93	3.1	4.2	5.1	7.8	4	5.9
94	1.9	2.7	5	4.9	2.5	8.2
95	4	0.5	6.7	4.5	2.1	5
96	0.6	1.6	6.4	5	2.1	8.4
97	6.1	0.5	9.2	4.8	2.8	7.1
98	2	2.8	5.2	5	2.7	8.4
99	3.1	2.2	6.7	6.8	2.9	8.4
100	2.5	1.8	9	5	3	6
