"","x1","x2","x3","x4","x5","x6","RC1","RC2"
"1",4.1,0.6,6.9,4.7,2.35,5.2,-0.657020717333615,-0.602644207316255
"2",1.8,3,6.3,6.6,4,8.4,1.17615893815053,1.29752681241104
"3",3.4,5.2,5.7,6,2.7,8.2,1.4924406105782,0.52274278555338
"4",2.7,1,7.1,5.9,2.3,7.8,0.264709149248494,-0.162731261208817
"5",6,0.9,9.6,7.8,4.6,4.5,-2.11786004177411,2.56488048823792
"6",1.9,3.3,7.9,4.8,1.9,9.7,1.26294695357743,-0.741588517460218
"7",4.6,2.4,9.5,6.6,4.5,7.6,-0.708201142343548,2.00456081675742
"8",1.3,4.2,6.2,5.1,2.2,6.9,1.47833229260376,-0.552595931521591
"9",5.5,1.6,9.4,4.7,3,7.6,-0.977498398645086,0.226443623467482
"10",4,3.5,6.5,6,3.2,8.7,0.78678900370384,0.829534971490301
"11",2.4,1.6,8.8,4.8,2.8,5.8,-0.347942383588851,-0.305501452861737
"12",3.9,2.2,9.1,4.6,2.5,8.3,-0.153890956554532,-0.280754600973468
"13",2.8,1.4,8.1,3.8,1.4,6.6,-0.0527937325028193,-1.63249686230829
"14",3.7,1.5,8.6,5.7,3.7,6.7,-0.568913253899043,0.847249982920813
"15",4.7,1.3,9.9,6.7,2.6,6.8,-1.12935145496793,0.72157591843931
"16",3.4,2,9.7,4.7,1.7,4.8,-0.863343536134286,-0.913709630630249
"17",3.2,4.1,5.7,5.1,2.9,6.2,0.882645306619928,0.0889973367120327
"18",4.9,1.8,7.7,4.3,1.5,5.9,-0.573010389261745,-1.09575640014234
"19",5.3,1.4,9.7,6.1,3.9,6.8,-1.29549525457754,1.380854458803
"20",4.7,1.3,9.9,6.7,2.6,6.8,-1.12935145496793,0.72157591843931
"21",3.3,0.9,8.6,4,1.8,6.3,-0.523285086046841,-1.25284458836592
"22",3.4,0.4,8.3,2.5,1.7,5.2,-0.781606797758693,-2.04896453632497
"23",3,4,9.1,7.1,3.4,8.4,0.433163702783194,1.4479811528974
"24",2.4,1.5,6.7,4.8,2.5,7.2,0.45155539615848,-0.544363411572268
"25",5.1,1.4,8.7,4.8,2.6,3.8,-1.47778934911426,-0.186993828996591
"26",4.6,2.1,7.9,5.8,2.8,4.7,-0.828185765499094,0.377369972468274
"27",2.4,1.5,6.6,4.8,2.5,7.2,0.476460401850388,-0.547889177089112
"28",5.2,1.3,9.7,6.1,3.9,6.7,-1.31296382559298,1.35805704029481
"29",3.5,2.8,9.9,3.5,1.7,5.4,-0.604600646190939,-1.34337794933141
"30",4.1,3.7,5.9,5.5,3,8.4,0.921065604349724,0.476478953466186
"31",3,3.2,6,5.3,3,8,0.992620955041172,0.208387804598742
"32",2.8,3.8,8.9,6.9,3.2,8.2,0.46567054733456,1.17625864672804
"33",5.2,2,9.3,5.9,2.4,4.6,-1.35504941361015,0.270562693016728
"34",3.4,3.7,6.4,5.7,3.4,8.4,0.951793346611414,0.759771234631963
"35",2.4,1,7.7,3.4,1.1,6.2,0.00522704456326792,-2.1105014307215
"36",1.8,3.3,7.5,4.5,2.4,7.6,0.940220717106612,-0.631982474136433
"37",3.6,4,5.8,5.8,2.5,9.3,1.36130873862412,0.267002959353444
"38",4,0.9,9.1,5.4,2.6,7.3,-0.716377320968181,0.0181387338991412
"39",0,2.1,6.9,5.4,2.6,8.9,1.50926617775239,-0.400771661228281
"40",2.4,2,6.4,4.5,2.2,8.8,0.99330892771708,-0.798789836412993
"41",1.9,3.4,7.6,4.6,2.5,7.7,0.923967294830928,-0.496121221051753
"42",5.9,0.9,9.6,7.8,4.6,4.5,-2.09116396034655,2.55283854932524
"43",4.9,2.3,9.3,4.5,1.3,6.2,-0.780286688709146,-1.03388651528005
"44",5,1.3,8.6,4.7,2.5,3.7,-1.46153592683858,-0.322855082081271
"45",2,2.6,6.5,3.7,1.7,8.5,1.20992618114697,-1.48423572678352
"46",5,2.5,9.4,4.6,1.4,6.3,-0.772354030311853,-0.890086844500874
"47",3.1,1.9,10,4.5,3.2,3.8,-1.1831876367251,-0.0819557789080301
"48",3.4,3.9,5.6,5.6,2.3,9.1,1.41800166384846,0.00321887087858422
"49",5.8,0.2,8.8,4.5,2.4,6.7,-1.38096326078319,-0.375914471549009
"50",5.4,2.1,8,3,1.4,5.2,-0.817791679496521,-1.65958315992128
"51",3.7,0.7,8.2,6,2.5,5.2,-0.884017735313492,0.0743911990785085
"52",2.6,4.8,8.2,5,2.5,9,1.17869495086825,-0.0665229025892116
"53",4.5,4.1,6.3,5.9,3.4,8.8,0.85605191524699,1.01992396580491
"54",2.8,2.4,6.7,4.9,2.6,9.2,0.953200244306252,-0.258870589591115
